iter	Passed	Remaining
0	1	99
1	1	89
2	2	89
3	3	82
4	4	90
5	5	85
6	6	83
7	7	81
8	7	79
9	8	78
10	9	77
11	10	76
12	11	74
13	11	72
14	12	71
15	13	70
16	14	69
17	14	68
18	15	66
19	16	65
20	17	65
21	18	64
22	19	64
23	20	64
24	22	66
25	23	66
26	24	65
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	35	51
41	36	50
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	47	38
55	48	37
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	79	8
90	81	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	88	0
